Titre;Artiste;Album;Duree_min;Lectures;Minutes_totales;Has_Pochette;Rang_lectures;Rang_minutes;Rang_zscore;Rang_jessye;Artwork_URL;Lien_YouTube;Commentaire
Véronique;3 Gars Su'l Sofa;Des Cobras, Des Tarentules;2.982;25;74.542;Non;83;155;116;93;https://i.discogs.com/ptwHgR8r9T7hqTztO7Yx0MNRqUifZk5cU7LHqhnnuio/rs:fit/g:sm/q:90/h:589/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NTg1/OTMtMTM5NzY5OTE0/OS04MzYxLmpwZWc.jpeg;https://www.youtube.com/watch?v=VZAG_9X0AgY;Jamais réellement décrocher de cette chanson . Elle est ,pour moi, encore a ce jour , la meilleure représentation des premiers jours quand on tombe en amour 
The Witch;Adam & Eve;The In-Kraut Vol. 3 - Hip Shaking Grooves Made In Germany 1967-1974;3.973;36;143.036;Oui;33;32;33;43;https://i.discogs.com/r2I-xu5yI5DNwaLHMarQolM3GyXbNKJPkx0Lg7pfNDY/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE4OTk1/NTMtMTMzODM5MzAz/NC00NDEwLmpwZWc.jpeg;https://www.youtube.com/watch?v=h79DyH4GwgI;L'intro horrifique est malade , la bass est cochone a souhait . Une pépite de l'Allemagne des années 60
Year Of The Cat;Al Stewart;Chris Coco - Lazy Summer 2;6.736;23;154.92;Oui;110;23;61;15;https://i.discogs.com/AyTSQiWyjELHLin-OM07MKMEZ8kH-sgP10VovRIQVC0/rs:fit/g:sm/q:90/h:594/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQzNTA2/NjEtMTM2MjUxMzc1/NC04NzI0LmpwZWc.jpeg;https://www.youtube.com/watch?v=Ak_MTXQALa0;Trop s'comme pas assez? Pour les solos ,dans cette chansons ,l'expression ne marche pas . Solo de sax savoureux
Obaa Sima;Ata Kak;Obaa Sima;5.642;50;282.122;Oui;7;4;7;11;https://i.discogs.com/JRNjCqXh6iuUW2eShK8ujhsQ9H97RSuNj7Z4nzv8nY4/rs:fit/g:sm/q:90/h:600/w:598/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTY2MTY0/MjctMTQyOTM4ODk5/Ni05MzY5LmpwZWc.jpeg;https://www.youtube.com/watch?v=cd0PV82e1jE;Je dédis la direction artistique de se site à Obaa Sima . Je dis souvent que c'est un heureux mélange de la house de chicago , du rap de la corne africaine …et des voix de François Perusse
L'amour passe à travers le linge;Avec Pas D'casque;Dans la nature jusqu'au cou;4.061;24;97.451;Non;97;94;103;107;https://i.discogs.com/ujWZkHoKnYcmYmyK9ZuTwwY7d-S1scMD1apI0nrUAoo/rs:fit/g:sm/q:90/h:550/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI5NjUy/NjMtMTQ1Mjc0NDc2/Mi0yNzk2LmpwZWc.jpeg;https://www.youtube.com/watch?v=3Ssf-Sq0Ghk;"""Quand la force de l'accident me sortira de mon siege , je penserai a toi , de toute mes raideurs, touuutes mes raideurs"""
Sabotage;Beastie Boys;Ill Communication;2.974;33;98.142;Oui;42;92;51;53;https://i.discogs.com/-udR8HjmAJVQsXlpJ4MQnZ33ADDqTtOFry4infIBNnI/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE3ODY3/NDMtMTM2NjUzMzg4/OS04MzkxLmpwZWc.jpeg;https://www.youtube.com/watch?v=z5rRZdiu1UE;Juste un des meilleurs vidéoclip et est une des chansons que j'utilise pour me motiver
Le Picbois;Beau Dommage;*multiple*;3.468;38;131.754;Oui;26;44;30;33;https://i.discogs.com/gU-c2E7uHiB2kpzTyBR-HFmqqCvGeo9yRmHm79Egs5U/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0NTQx/MDYtMTUwODg1MzE1/NC0yNzAyLmpwZWc.jpeg;https://www.youtube.com/watch?v=a0tgrlcgINw;Le solo de guit qui s'évade , l'harmonie des voix . Une des plus grandes chansons québecoise
Haboglabotribin';Bernard Wright;Space 103.2;4.295;31;133.157;Oui;47;42;47;59;https://i.discogs.com/4F-hJ8Ogxe7gqZ9fhaR4RR6Gt77nZX1lmUDLNCRe28U/rs:fit/g:sm/q:40/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTkxMzM1/My0xNzQ1NzgxMTg2/LTgzMDYuanBlZw.jpeg;https://www.youtube.com/watch?v=fIMHtajyeXM;Avertissement : Si vous n'aimez pas le Slap bass , n'écouter pas cette chanson …pour le reste  un des grands bassistes américains ever
Nights (Feel Like Gettin' Down);Billy Ocean;Nights (Feel Like Gettin' Down);4.729;30;141.884;Non;51;33;48;63;https://i.discogs.com/VSotQcDncSOWk57SlX4dEq9ppntwHf7n5t94CbuksWQ/rs:fit/g:sm/q:90/h:600/w:589/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNDMw/NzItMTQ1ODE2MzIw/OS0zMjk1LmpwZWc.jpeg;https://www.youtube.com/watch?v=7gNjgU_1th0;La station SPACE de GTA V , m'a reconcillier avec Billy Ocean , que je trouvais ennuyant . C'est maintenant un de mes albums préférés
Stay The Night;Billy Ocean;Nights (Feel Like Gettin' Down);3.528;42;148.187;Non;17;27;18;24;https://i.discogs.com/VSotQcDncSOWk57SlX4dEq9ppntwHf7n5t94CbuksWQ/rs:fit/g:sm/q:90/h:600/w:589/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNDMw/NzItMTQ1ODE2MzIw/OS0zMjk1LmpwZWc.jpeg;https://www.youtube.com/watch?v=ikpyUQ3PWPA;Un de mes albums préférés , dommage que Caribbean Queen cache la foret qui se cache derriere
